index,ID,text
0,1459083556286713863,"¡Vamos a sortear una AMD Radeon RX 6900 XT Halo Infinite Limited Edition Graphics Card! 🐍
Requisitos para parcicipa… https://t.co/F3TzO6dhKr"
1,1458823365674864644,"En un país normal, proponer para el Constitucional a un tipo envuelto en casos de corrupción, que niega el cambio c… https://t.co/WjU7cUhb2D"
2,1459060580615176193,"🔹 11 suicidios al día

🔹 Una persona se quita la vida cada 2 horas

🔹 Entre ellos, el doble de niños que en 2019

E… https://t.co/GpM02UQ9dv"
3,1459098007492870147,Sánchez continúa su farsa de recuperación mientras las previsiones económicas sobre España se desploman y la cesta… https://t.co/VTygFpxduV
4,1458881721919750149,"Sr. Sánchez, si todo es tan maravilloso, si usted es tan querido por los españoles, si España está tan bien, y los… https://t.co/sDTrOBjhAy"
5,1458912550075219978,"🏁 ¡¡FINAL FINAL FINAAAAL EN ATENAAAAS!!

La @SeFutbol se impone en tierras helenas con un gol de @Pablosarabia92 tr… https://t.co/QDUf2MA9fj"
6,1459165378102366225,"Sánchez ya tiene comprometido el hachazo fiscal a Madrid pero no podrá porque es ilegal.

Bajen los impuestos a los… https://t.co/r728TKN6Gl"
7,1459200635673399306,"Gracias a las Fuerzas y Cuerpos de Seguridad, España es un país libre de pleno derecho, donde se protege al débil y… https://t.co/gVneulBbjK"
8,1458886295795777536,Caso de @AlvaroUribeVel ha sido sometido a revisión de expertos independientes de diferentes nacionalidades entre e… https://t.co/69SSSmfYb0
9,1458742077328662528,"💥💥💥💥💥💥💥💥💥💥💥💥💥
100 euros para gastar en amazon (españa) van a ser para una de las personas que haga RT 🔁 y que respo… https://t.co/6zJAlhPXJA"
10,1458730719665176580,"🍬 ¡SORTEO EXPRÉS 1 PACK CON BOL PARA CHUCHES! 🍬

✨Con motivo del mágico 11 del 11, ponemos en juego un pack con est… https://t.co/zpBLrkQVXW"
11,1458721160464531456,SORTEO ✨ ¡Gana una Switch Lite Ed. Palkia y Dialga + Ed. Dual #PokémonDiamanteBrillante y #PokémonPerlaReluciente!… https://t.co/gxanQVrFFj
